DATE,FLAKE ID,X,Y
2026_07_07,A1,11745,1148
2026_07_07,A2,13065,2288
2026_07_07,A3,5959,4208
2026_07_07,A4,10226,4355
2026_07_07,A5,8459,5408
2026_07_07,A6,8052,6282
2026_07_07,A7,4506,7168
2026_07_07,A8,11499,8902
2026_07_07,A9,9172,10501
2026_07_07,A10,10559,12301
2026_07_07,A11,5059,13361
2026_07_07,A12,6312,13468
2026_07_07,C1,14451,2541
2026_07_07,C2,7771,1561
2026_07_07,C3,14785,3447
2026_07_07,C5,8248,4034
2026_07_07,C6,8065,4101
2026_07_07,C7,3358,4254
2026_07_07,C8,7038,5321
2026_07_07,C9,12038,5128
2026_07_07,C10,14285,7181
2026_07_07,C11,7018,11403
2026_07_07,C12,9545,12143
2026_07_07,C13,14818,12576
2026_07_07,C14,10105,14123
2026_07_13,B1,14418,2787
2026_07_13,B2,13864,8414
2026_07_13,B3,4198,8414
2026_07_13,B4,15371,9088
2026_07_13,B5,12404,10728
2026_07_13,B6,7058,10874
2026_07_13,B7,7758,14741
2026_07_13,D1,10995,3954
2026_07_13,D2,14128,4568
2026_07_13,D3,1315,5821
2026_07_13,D4,7935,8021
2026_07_13,D5,9088,10631
2026_07_13,D6,2575,9957
2026_07_13,D7,1795,11571
2026_07_13,H1,5878,4474
2026_07_13,H2,6178,7661
2026_07_13,H3,4232,9375
2026_07_13,H4,4232,12501
2026_07_13,H5,7212,12595
