material,substrate,chip,flake_id,thickness_nm,flake_b,flake_g,flake_r,sub_b,sub_g,sub_r,source_image
HBN,SiO2-285nm,B,HBN_2026_07_13_B01,40.0,64.11749,238.86131,179.43442,159.0,132.0,119.0,Full Chips/2026_07_13_B.jpg
HBN,SiO2-285nm,B,HBN_2026_07_13_B02,41.0,61.56841,243.88397,192.41412,163.0,135.0,127.0,Full Chips/2026_07_13_B.jpg
HBN,SiO2-285nm,B,HBN_2026_07_13_B03,39.0,74.14315,236.22409,188.01163,168.0,138.0,133.0,Full Chips/2026_07_13_B.jpg
HBN,SiO2-285nm,B,HBN_2026_07_13_B04,40.0,74.37244,247.9638,186.50844,161.0,135.0,126.0,Full Chips/2026_07_13_B.jpg
HBN,SiO2-285nm,B,HBN_2026_07_13_B05,35.0,107.58183,238.71886,154.34737,165.0,131.0,126.0,Full Chips/2026_07_13_B.jpg
HBN,SiO2-285nm,B,HBN_2026_07_13_B06,47.0,39.34469,244.95915,213.04044,167.0,131.0,128.0,Full Chips/2026_07_13_B.jpg
HBN,SiO2-285nm,B,HBN_2026_07_13_B07,40.0,58.10282,241.29402,201.38034,168.0,131.0,136.0,Full Chips/2026_07_13_B.jpg
HBN,SiO2-285nm,D,HBN_2026_07_13_D01,48.0,44.108967,239.97537,216.56482,181.0,146.0,122.0,Full Chips/2026_07_13_D.jpg
HBN,SiO2-285nm,D,HBN_2026_07_13_D02,38.0,46.7827,242.14653,203.46326,180.0,150.0,132.0,Full Chips/2026_07_13_D.jpg
HBN,SiO2-285nm,D,HBN_2026_07_13_D03,36.0,71.51882,241.8518,196.73027,186.0,152.0,122.0,Full Chips/2026_07_13_D.jpg
HBN,SiO2-285nm,D,HBN_2026_07_13_D04,41.0,51.940617,239.45605,202.43352,182.0,152.0,130.0,Full Chips/2026_07_13_D.jpg
HBN,SiO2-285nm,D,HBN_2026_07_13_D05,37.0,110.080315,243.63383,176.03406,181.0,152.0,131.0,Full Chips/2026_07_13_D.jpg
HBN,SiO2-285nm,D,HBN_2026_07_13_D06,34.0,111.47659,243.80254,168.04236,184.0,152.0,123.0,Full Chips/2026_07_13_D.jpg
HBN,SiO2-285nm,D,HBN_2026_07_13_D07,37.0,73.63694,243.27971,196.49417,184.0,153.0,124.0,Full Chips/2026_07_13_D.jpg
HBN,SiO2-285nm,H,HBN_2026_07_13_H01,38.0,80.51406,246.96722,202.11026,197.0,162.0,128.0,Full Chips/2026_07_13_H.jpg
HBN,SiO2-285nm,H,HBN_2026_07_13_H02,36.0,74.75178,244.66672,203.72054,198.0,162.0,128.0,Full Chips/2026_07_13_H.jpg
HBN,SiO2-285nm,H,HBN_2026_07_13_H03,34.0,88.17696,240.57364,187.31735,196.0,165.0,132.0,Full Chips/2026_07_13_H.jpg
HBN,SiO2-285nm,H,HBN_2026_07_13_H04,43.0,32.38249,246.35942,221.91219,197.0,164.0,131.0,Full Chips/2026_07_13_H.jpg
HBN,SiO2-285nm,H,HBN_2026_07_13_H05,37.0,80.011475,246.78131,196.02159,199.0,164.0,131.0,Full Chips/2026_07_13_H.jpg
