filename,thickness_nm,flake_R,flake_G,flake_B,sub_R,sub_G,sub_B,contrast_R,contrast_G,contrast_B
D_Full.png,42.0,171.2,238.4,196.0,162.6,147.9,190.2,-0.0533,-0.612,-0.0306
D_Full.png,36.0,214.5,245.4,166.0,163.9,141.2,184.3,-0.3082,-0.7382,0.0996
D_Full.png,37.0,228.7,255.0,158.8,163.2,144.5,186.2,-0.4013,-0.7643,0.1469
D_Full.png,30.0,193.3,243.7,178.8,153.8,134.0,172.2,-0.2568,-0.818,-0.038
D_Full.png,28.0,194.6,242.8,181.5,155.5,136.7,174.8,-0.2515,-0.7759,-0.0386
D_Full.png,27.0,190.6,244.0,176.3,152.0,131.9,173.4,-0.2543,-0.8493,-0.0167
D_Full.png,33.0,216.4,254.6,189.5,164.9,143.1,187.1,-0.3127,-0.78,-0.0125
D_Full.png,37.0,236.9,254.4,147.0,161.7,140.3,182.8,-0.465,-0.8131,0.196
D_Full.png,29.0,222.2,255.0,182.3,164.5,143.8,186.6,-0.3509,-0.7731,0.0233
D_Full.png,35.0,213.7,255.0,189.1,167.9,147.0,187.0,-0.2732,-0.7344,-0.011
G_Full_06_16.png,25.0,169.8,235.9,187.6,150.2,131.7,167.4,-0.1309,-0.7915,-0.1203
G_Full_06_16.png,30.0,167.4,229.5,180.7,148.8,131.8,168.8,-0.125,-0.7419,-0.0705
G_Full_06_16.png,25.0,144.3,211.7,188.9,149.4,135.0,171.0,0.0339,-0.5682,-0.1046
G_Full_06_16.png,24.0,142.1,196.9,183.4,148.8,135.3,172.0,0.0446,-0.4556,-0.0658
G_Full_06_16.png,24.0,149.4,207.5,189.1,154.5,135.0,171.2,0.0335,-0.5371,-0.1043
G_Full_06_16.png,29.0,199.1,252.8,176.3,153.2,133.1,171.9,-0.2994,-0.8992,-0.0258
G_Full_06_16.png,28.0,192.0,249.3,177.6,151.9,133.1,174.5,-0.2646,-0.8735,-0.0177
G_Full_06_16.png,36.0,214.2,242.6,152.2,153.2,134.1,173.3,-0.3988,-0.8097,0.1218
G_Full_06_16.png,25.0,145.0,202.7,185.2,148.1,128.1,169.2,0.0207,-0.5828,-0.0946
G_Full_06_16.png,26.0,191.7,252.0,174.9,154.4,130.0,168.6,-0.2415,-0.939,-0.0371
G_Full_06_16.png,34.0,185.5,219.1,151.4,151.2,129.7,163.0,-0.2272,-0.689,0.0714
G_Full_06_16.png,28.0,191.0,248.4,166.0,147.6,126.0,161.1,-0.2936,-0.9711,-0.0302
G_Full_06_16.png,26.0,154.5,216.5,175.1,145.7,124.0,158.8,-0.0607,-0.7463,-0.1024
G_Full_06_16.png,31.0,163.6,220.3,161.7,141.1,119.1,152.6,-0.1591,-0.8487,-0.059
G_Full_06_16.png,37.0,196.6,224.0,137.9,154.7,131.8,166.7,-0.2708,-0.7002,0.1727
G_Full_06_16.png,31.0,181.7,220.4,172.0,154.3,133.3,167.1,-0.1772,-0.6529,-0.0295
G_Full_06_16.png,29.0,140.4,192.2,175.3,145.5,128.3,171.5,0.0349,-0.4977,-0.0224
G_Full_06_16.png,26.0,206.4,246.4,144.0,151.8,129.2,162.8,-0.36,-0.9073,0.1152
